symbol,timeframe,tf_rule,sharpe,sortino,total_return_pct,max_drawdown_pct,alpha_pct,beta,win_rate,opt_m_var,opt_z_thresh,opt_window
TTWO,1Min,1min,4.2009923624892425,3.6997258934430617,36.95675098445352,-2.1989131100943005,37.045148706767506,0.028680683835140976,0.5152471083070452,0.001,1.0,10
VZ,1Min,1min,4.177998053097785,3.99319202125755,21.281528573898512,-1.9405865912642335,21.366035777344468,0.027418403103380725,0.5108469539375928,0.01,1.0,20
GIS,1Min,1min,4.176045100136272,4.315239819641933,35.444323314744096,-3.8776193619436823,35.45823729385858,0.004514397265279982,0.5263321907136179,0.001,1.0,10
ANET,1Min,1min,4.173720908530327,3.835018553087098,56.69142478478128,-5.27907712868497,57.00281326260072,0.10103014250212858,0.5086261980830671,0.001,1.0,20
LHX,5Min,5min,4.152588312591268,3.7400459479559225,29.558556772695855,-1.826680222332596,29.53599292166028,-0.007320852401108098,0.5794871794871795,0.001,2.0,10
COIN,1Min,1min,4.152585697326693,4.460519721010376,70.49339009161916,-5.249373608986201,70.58085150090204,0.028376896618536433,0.5224219880140525,0.001,1.5,10
DELL,1Min,1min,4.151596450009418,3.8504519113937414,50.96898118052473,-7.062156929371738,50.29393413071962,-0.21901934238234655,0.518657795776685,0.001,1.0,10
HPQ,5Min,5min,4.119832058592013,4.129330426227922,40.24349835471892,-3.105427974947814,39.954597516002686,-0.09373401709943985,0.5428211586901763,0.01,1.0,20
DOW,1Min,1min,4.118629251173441,3.566699918330244,74.23686258286939,-5.116311907041025,74.18464214706528,-0.016942945698435477,0.5319148936170213,0.001,1.5,20
CRM,1Min,1min,4.115310587686564,3.820040740567978,50.870158439265765,-4.618827411088195,51.043905179169556,0.05637221394537109,0.5317169438962503,0.001,1.0,10
KMI,5Min,5min,4.114654243145613,4.6459185187229535,22.980467732732656,-2.0819364836229464,23.163559184373888,0.05940411019629278,0.5637254901960784,0.001,1.5,10
EME,1Min,1min,4.080543238313394,2.6390035657272137,46.40996434817139,-3.2445832556182865,46.4295824289252,0.006365095805903725,0.5421686746987951,0.001,1.0,10
FTNT,1Min,1min,4.06843027598774,3.3074122029798265,32.37304959716829,-3.4724517609687746,32.56414741895852,0.06200178087035149,0.5220661985957874,0.001,2.0,10
DIS,1Min,1min,4.044468783838148,3.809082782563344,21.507311115728143,-2.5465572201522875,21.754888427784024,0.08032657885242517,0.5253399258343634,0.01,1.5,10
UNH,5Min,5min,3.992618323701815,3.72793737268943,22.368338721717063,-2.3604580362968406,22.972888636848573,0.19614651288036594,0.562,0.001,1.0,10
TPL,1Min,1min,3.9520514082204516,3.285988065292334,48.37918612379153,-3.257378513464687,48.544481115875136,0.05363004027008038,0.5253227408142999,0.01,2.0,20
META,1Min,1min,3.9240469016359567,3.9236610551392017,31.016251017283693,-2.332035151542153,31.577753104300747,0.18217962419107714,0.5307008884501481,0.001,1.0,10
SNPS,1Min,1min,3.8863599033642564,3.07749302855286,36.87929357952806,-4.803049408606478,37.01315051051907,0.043429946116248695,0.5339435545385202,0.001,1.5,10
WDC,1Min,1min,3.8827010817800223,3.5790861953730704,75.13827448006533,-6.682069355785021,75.31003928901168,0.05572917548594563,0.5276744186046511,0.001,1.0,10
ORCL,1Min,1min,3.867450477455055,3.774064719249249,57.03127169938844,-5.935045626709524,57.47301170099263,0.14332275755187182,0.528597329817043,0.001,1.0,10
APA,1Min,1min,3.851910565810975,2.9036196505776575,44.02297259274708,-4.387133379500549,44.04014807683125,0.005572594132958072,0.5366726296958855,0.001,2.0,10
CTRA,5Min,5min,3.8397492271689178,3.3544276224265697,36.40063463590193,-2.5914622122769053,35.91530698867005,-0.15746479029487254,0.567219152854512,0.001,1.5,10
FSLR,1Min,1min,3.837659363715789,3.2508243619162176,38.693841333969516,-4.031803134958916,38.3653663471833,-0.10657386861514011,0.5337972166998012,0.01,1.0,10
EOG,1Min,1min,3.837620972748169,2.931272038280757,34.54994498107771,-2.7850254300198363,34.60850842137073,0.019000936578165487,0.5164462529671074,0.001,1.0,20
KHC,1Min,1min,3.835998327588487,3.237930989661053,28.078068340635063,-2.5553439153439053,28.093400765984043,0.004974612833327112,0.5197391005835909,0.001,1.0,20
